sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4a85050>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-28 13:00:24 -0800,2016-11-28 12:00:15 -0800,2016-11-28 12:00:15 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4691440>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-28 15:00:23 -0800,2016-11-28 14:55:28 -0800,2016-11-28 14:55:28 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4899280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-28 15:00:23 -0800,2016-11-28 14:57:29 -0800,2016-11-28 14:57:29 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4899140>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-30 12:56:49 -0800,2016-11-30 12:51:41 -0800,2016-11-30 12:51:41 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4899460>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-30 17:57:41 -0800,2016-11-30 17:25:18 -0800,2016-11-30 17:25:18 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c468f6e0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-01 16:57:25 -0800,2016-12-01 15:57:58 -0800,2016-12-01 15:57:58 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4690360>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-02 14:56:51 -0800,2016-12-02 14:50:54 -0800,2016-12-02 14:50:54 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c468fbe0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-03 15:01:18 -0800,2016-12-03 14:38:15 -0800,2016-12-03 14:38:15 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c46901d0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-03 18:13:52 -0800,2016-12-03 15:29:42 -0800,2016-12-03 15:29:42 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4690040>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-05 15:35:03 -0800,2016-12-05 14:36:45 -0800,2016-12-05 14:36:45 -0800,1
